AirWayBill;Carrier Prefix;Flight No.;Airport of Departure (code);Final Destination (code);Picked Up (Date);ETD;ETA;Docs released / Delivered (Date)
BRN496915;EK;086;ZRH;AMD;2019-03-19 11:41;2019-03-20 00:00:00.0;2019-03-24 22:00:00.0;
NKG214155;AC;027/20;PVG;YVR;2019-03-18 16:00;2019-03-20 00:00:00.0;2019-09-20 00:00:00.0;
PEK400531;SQ;801;PEK;BLR;2019-03-18 00:00;2019-03-20 00:00:00.0;2019-03-21 00:00:00.0;
HKG202099;CX;113;HKG;AKL;2019-03-19 17:19;2019-03-20 00:00:00.0;2019-03-25 00:00:00.0;
17602266596;EK;86;ZRH;DXB;2019-03-19 00:00;2019-03-20 00:00:00.0;2019-03-20 15:00:00.0;
17602266600;EK;86;ZRH;DXB;2019-03-19 00:00;2019-03-20 00:00:00.0;2019-03-20 20:00:00.0;
ZHV247293;LX;176;ZRH;SIN;2019-03-19 00:00;2019-03-20 00:00:00.0;2019-03-21 18:00:00.0;
XIY100122;SQ;801;PEK;BLR;2019-03-14 00:00;2019-03-20 00:00:00.0;2019-03-21 00:00:00.0;
PVG966689;CV;9732/20;CGO;AMS;2019-03-16 08:00;2019-03-20 00:05:00.0;2019-03-20 10:00:00.0;
PVG966725;CV;9732/20;CGO;EIN;2019-03-16 18:00;2019-03-20 00:05:00.0;2019-03-20 09:25:00.0;
PVG967004;CV;9732/20;CGO;OMR;2019-03-16 15:00;2019-03-20 00:05:00.0;2019-03-26 09:25:00.0;
PVG967100;CV;9732/20;CGO;AMS;2019-03-15 08:00;2019-03-20 00:05:00.0;2019-03-20 10:00:00.0;
BKK317261;TG;930/20;BKK;CDG;2019-03-19 19:00;2019-03-20 00:05:00.0;2019-03-20 06:50:00.0;2019-03-20 12:30
BKK317266;TG;930/20;BKK;CDG;2019-03-19 18:40;2019-03-20 00:05:00.0;2019-03-20 06:50:00.0;2019-03-20 12:30
LAX547945;M7;6823;LAX;GDL;2019-03-15 16:30;2019-03-20 00:05:00.0;2019-03-20 04:00:00.0;
WUH009084;CV;9732/20;CGO;AMS;2019-03-18 08:00;2019-03-20 00:05:00.0;2019-03-20 10:00:00.0;
WUH009270;CV;9732/20;CGO;AMS;2019-03-18 08:00;2019-03-20 00:05:00.0;2019-03-19 09:00:00.0;
PVG963089;CV;9732/20;CGO;BUD;2019-03-17 18:00;2019-03-20 00:05:00.0;2019-03-22 16:00:00.0;
PVG966724;CV;9732/20;CGO;EIN;2019-03-16 18:00;2019-03-20 00:05:00.0;2019-03-20 09:25:00.0;
NKG214110;CV;9732/20;CGO;AMS;2019-03-15 18:00;2019-03-20 00:05:00.0;2019-03-21 16:00:00.0;
WUH009144;CV;9732/20;CGO;AMS;2019-03-18 10:47;2019-03-20 00:05:00.0;2019-03-20 10:00:00.0;
WUH009271;CV;9732/20;CGO;AMS;2019-03-18 08:00;2019-03-20 00:05:00.0;2019-03-19 09:00:00.0;
PVG963142;CV;9732/20;CGO;BUD;2019-03-16 15:00;2019-03-20 00:05:00.0;2019-03-22 16:00:00.0;
PVG964210;CV;9732/20;CGO;HAJ;2019-03-16 15:00;2019-03-20 00:05:00.0;2019-03-25 08:00:00.0;
PVG964750;CV;9732/20;CGO;CDG;2019-03-17 18:00;2019-03-20 00:05:00.0;2019-03-21 10:30:00.0;
PVG966723;CV;9732/20;CGO;LUX;2019-03-16 18:00;2019-03-20 00:05:00.0;2019-03-27 09:25:00.0;
72462429006;LX;0256;MUC;TLV;2019-03-19 13:49;2019-03-20 00:05:00.0;2019-03-21 03:35:00.0;
PVG964736;CV;9732/20;CGO;LUX;2019-03-18 18:00;2019-03-20 00:05:00.0;2019-03-27 09:25:00.0;
PVG966813;CV;9732/20;CGO;AMS;2019-03-14 10:00;2019-03-20 00:05:00.0;2019-03-18 10:40:00.0;2019-03-20 10:00
BKK317272;TG;930/20;BKK;CDG;2019-03-19 18:40;2019-03-20 00:05:00.0;2019-03-20 06:50:00.0;2019-03-20 16:00
SZX162218;CX;086/21;SZX;GDL;2019-03-19 10:00;2019-03-20 00:10:00.0;2019-03-21 09:30:00.0;
CEB822535;KE;0789/20;CEB;FUK;2019-03-19 18:00;2019-03-20 00:10:00.0;2019-03-20 14:30:00.0;
CEB822541;KE;0789/20;CEB;FUK;2019-03-19 18:00;2019-03-20 00:10:00.0;;
CEB822542;KE;0789/20;CEB;FUK;2019-03-19 18:00;2019-03-20 00:10:00.0;;
SZX162282;LX;139/21;SZX;ZRH;2019-03-19 10:00;2019-03-20 00:10:00.0;2019-03-21 06:10:00.0;
CEB822532;KE;0789/20;CEB;FUK;2019-03-19 18:00;2019-03-20 00:10:00.0;;
HKG624284;NH;8520/20;HKG;OKA;2019-03-15 17:19;2019-03-20 00:10:00.0;2019-03-20 23:59:00.0;2019-03-20 11:38
CEB822538;KE;0789/20;CEB;FUK;2019-03-19 18:00;2019-03-20 00:10:00.0;;
SZX162206;LX;139/22;SZX;ZRH;2019-03-19 10:00;2019-03-20 00:10:00.0;2019-03-22 06:10:00.0;
CEB822543;KE;0789/20;CEB;FUK;2019-03-19 18:00;2019-03-20 00:10:00.0;;
21725098356;TG;910/20;BKK;LHR;2019-03-19 19:00;2019-03-20 00:15:00.0;2019-03-20 06:20:00.0;
21724824774;TG;910/20;BKK;LHR;2019-03-19 19:00;2019-03-20 00:15:00.0;2019-03-20 06:20:00.0;
DEL174773;TG;0316/20;DEL;BKK;2019-03-19 09:30;2019-03-20 00:20:00.0;2019-03-20 05:45:00.0;
HKG201889;OZ;722;HKG;LHR;2019-03-14 10:53;2019-03-20 00:30:00.0;2019-03-20 17:50:00.0;
TPE624972;CI;073/20;TPE;EIN;2019-03-19 13:00;2019-03-20 00:30:00.0;2019-03-21 22:00:00.0;
LAX772782;BR;015;LAX;TPE;2019-03-18 21:00;2019-03-20 00:30:00.0;2019-03-22 06:05:00.0;
ICN609378;TK;015/21;ICN;GRU;2019-03-18 16:00;2019-03-20 00:30:00.0;2019-03-21 18:20:00.0;
