Pantainer HB/L;Received (Date);ETS;ETA;Released (Date);Shipping Line (text);Voyage Nbr;Vessel name;Place of Receipt (code);Port of Loading (code);Port of Discharge (code);Place of Delivery (code);Gross Weight (total);Pieces (total);Volume (total);Customer Reference (FOS)
SZX984814;2019-01-28;2019-02-11;2019-03-13;;MSC - MEDITERRANEAN SHIPPING;FS905W;MSC INGY;CNHUI;CNYTN;ESVGO;;16720.000;176;57.00;
ZRH059489;;2018-07-03;2019-07-21;;;826S;POLAR COSTA RICA;CHUZW;BEANR;MXVER;MXVER;1166.000;3;4.28;3018508442.OT
TYO864093;;2019-01-21;2019-12-24;2018-12-29;NACA LOGISTICS (USA) INC. (VA;1851W;MILD WALTZ;JPNGO;JPNGO;CNSHG;CNSHG;3780.000;9;6.32;
BRE058794;2019-01-17;2019-01-23;2019-03-18;;A.P. MOLLER-MAERSK A/S;904E;MARY MAERSK;DEESN;DEHAM;AUSYD;AUSYD;3204.000;6;17.62;76678249
TXG388609;;2019-01-30;2019-03-15;;KMTC. KOREA MARINE TRANSPORT;1901N;KMTC KEELUNG;TWTXG;TWKEL;CLVAP;CLVAP;336.900;1;1.63;0560
NKG636829;2018-12-01;2018-12-04;2019-12-09;2019-01-22;PANTAINER (H.K.) LIMITED;005W;MOL TRUTH;CNNKG;CNSHA;DEHAM;PLMIR;4152.980;17;17.00;
SHA536571;2018-12-01;2018-12-04;2019-12-09;;OCEAN NETWORK EXPRESS PTE LTD;005W;MOL TRUTH;CNSHA;CNSHA;DEHAM;PLWRO;327.000;1;2.15;
HAM016568;;2019-03-21;2019-04-05;;;;POLAR ARGENTINA;DEHAM;DEHAM;MXVER;MXVER;10.040;1;0.10;
DRS011396;2019-02-04;2019-02-14;2019-04-15;;A.P. MOLLER-MAERSK A/S;907E;MAERSK MC-KINNEY MOLLER;DEWAJ;DEHAM;NZPOE;NZPOE;98688.000;96;;
NKG860025;2018-12-08;2018-12-17;2019-11-01;;PANTAINER (H.K.) LIMITED;0VN09W;CMA CGM NORMA;CNCNA;CNSHA;INNSA;INNSA;2910.160;6;4.32;12/2/2018
RBO006739;2019-01-11;2019-01-16;2019-03-13;;;;;USFIS;USATL;INMAA;INMAA;332.000;1;0.47;
DLC622382;;2019-01-02;2019-03-18;;CWT GLOBELINK PTE. LTD.;1851E;DOOWOO FAMILY;CNDAL;CNDAL;BRSSZ;BRSSZ;881.750;1;0.53;
SIN235959;2019-02-28;2019-03-03;2019-03-30;;OOCL. ORIENT OVERSEAS CONTAINE;U5TS1M;CMA CGM TAGE;SGSIN;SGSIN;USSAV;USATL;133351.379;10240;400.00;PO1000147075.146377.14673
SIN235962;2019-02-14;2019-02-16;2019-03-20;;OCEAN NETWORK EXPRESS PTE LTD.;015E;NYK BLUE JAY;SGSIN;SGSIN;USSAV;USATL;190324.239;14080;550.00;PO1000145073/145946/14547
BSL066867;2019-02-12;2019-02-18;2019-03-13;;A.P. MOLLER-MAERSK A/S;1903;MAERSK SARAT;CHDNK;NLRTM;INNSA;INNSA;51900.000;50;92.60;
