AirWayBill;Carrier Prefix;Flight No.;Airport of Departure (code);Final Destination (code);Picked Up (Date);ETD;ETA;Docs released / Delivered (Date)
SYD433951;QF;0081/13;SYD;SIN;2019-02-12 11:00;2019-02-13 11:30:00.0;2019-02-13 00:00:00.0;
CEB821987;PR;738/12;CEB;BKK;2019-02-12 16:10;2019-02-12 21:25:00.0;2019-02-13 00:10:00.0;
TPE621932;PO;224/12;TPE;NGO;2019-02-12 13:00;2019-02-12 21:00:00.0;2019-02-13 00:40:00.0;
KHH621499;TR;895/12;KHH;SIN;2019-02-12 13:00;2019-02-12 20:40:00.0;2019-02-13 00:50:00.0;
TPE621243;TR;893/12;TPE;SIN;2019-02-12 20:02;2019-02-12 22:20:00.0;2019-02-13 03:00:00.0;
ICN607501;KE;395/12;ICN;SIN;2019-02-12 09:00;2019-02-12 22:00:00.0;2019-02-13 03:25:00.0;
ICN607500;KE;395/12;ICN;SIN;2019-02-12 15:16;2019-02-12 22:00:00.0;2019-02-13 03:25:00.0;
TPE621242;BR;6085/12;TPE;SIN;2019-02-12 18:28;2019-02-12 23:20:00.0;2019-02-13 04:00:00.0;
TPE621251;BR;6085/12;TPE;SIN;2019-02-12 18:27;2019-02-12 23:20:00.0;2019-02-13 04:00:00.0;
ICN607420;KE;881/13;ICN;WUH;2019-02-12 11:00;2019-02-13 09:15:00.0;2019-02-13 04:00:00.0;
TPE621252;BR;6085/12;TPE;SIN;2019-02-12 20:00;2019-02-12 23:20:00.0;2019-02-13 04:00:00.0;
TPE621253;BR;6085/12;TPE;SIN;2019-02-12 20:01;2019-02-12 23:20:00.0;2019-02-13 04:00:00.0;
BKK315365;QF;7581/12;BKK;PVG;2019-02-12 13:00;2019-02-12 22:55:00.0;2019-02-13 04:10:00.0;
BKK315162;QF;7581/12;BKK;PVG;2019-02-12 15:00;2019-02-12 22:55:00.0;2019-02-13 04:10:00.0;
BKK315405;QF;7581/12;BKK;PVG;2019-02-12 10:00;2019-02-12 22:55:00.0;2019-02-13 04:10:00.0;
BKK315406;QF;7581/12;BKK;PVG;2019-02-12 10:00;2019-02-12 22:55:00.0;2019-02-13 04:10:00.0;
BKK315252;QF;7581/12;BKK;PVG;2019-02-12 15:00;2019-02-12 22:55:00.0;2019-02-13 04:10:00.0;
MNL999995;OZ;704/12;MNL;ICN;2019-02-12 09:00;2019-02-12 23:10:00.0;2019-02-13 04:30:00.0;
MNL999994;OZ;704/12;MNL;ICN;2019-02-12 09:00;2019-02-12 23:10:00.0;2019-02-13 04:30:00.0;
SIN658889;TR;898;SIN;TPE;2019-02-12 17:00;2019-02-13 00:55:00.0;2019-02-13 05:30:00.0;
SIN658756;TR;898;SIN;TPE;2019-02-12 14:00;2019-02-13 00:55:00.0;2019-02-13 05:30:00.0;
SIN658760;TR;898;SIN;TPE;2019-02-12 14:00;2019-02-13 00:55:00.0;2019-02-13 05:30:00.0;
TPE620618;CI;5156/13;TPE;LAX;2019-02-12 16:00;2019-02-13 07:00:00.0;2019-02-13 07:00:00.0;
ICN607550;PO;225/13;ICN;TPE;2019-02-12 17:00;2019-02-13 05:30:00.0;2019-02-13 07:10:00.0;
