AirWayBill;Carrier Prefix;Flight No.;Airport of Departure (code);Final Destination (code);Picked Up / Received (Date);ETD;ETA;Docs released / Delivered (Date)
TSN033177;LX;082/21;TSN;GRU;2018-08-17 09:00;2018-08-17 16:00:00.0;2018-08-22 05:00:00.0;2018-08-22 05:35
AMS807650;MP;8340/23;AMS;JNB;;2018-08-23 22:45:00.0;2018-08-24 10:45:00.0;
PVG078345;LH;504/20;PVG;GRU;2018-08-18 23:00;2018-08-19 05:00:00.0;2018-08-21 05:55:00.0;
SZV013191;LH;8401/23;PVG;WAW;;2018-08-25 02:46:00.0;2018-09-01 14:10:00.0;
SZV013192;LH;8411/21;PVG;FRA;;2018-08-21 09:35:00.0;2018-08-22 00:00:00.0;
SZV013209;CA;1075/22;PVG;LRD;2018-08-18 14:57;2018-08-22 15:00:00.0;2018-08-22 15:05:00.0;2018-08-23 19:03
PVG899317;RU;298/18;PVG;FRA;2018-08-16 10:32;2018-08-18 02:00:00.0;2018-08-18 19:00:00.0;2018-08-21 10:48
PVG900922;CA;1041/19;PVG;FRA;2018-08-18 23:00;2018-08-19 09:50:00.0;2018-08-19 15:35:00.0;2018-08-21 06:30
PVG902527;QR;773/20;PVG;GRU;2018-08-18 00:48;2018-08-19 21:00:00.0;2018-08-20 12:00:00.0;2018-08-20 17:11
HKG592466;GB;2229/23;HKG;SDQ;2018-08-17 22:34;2018-08-21 11:25:00.0;2018-08-23 07:00:00.0;
HKG592467;CV;7332/21;HKG;CDG;2018-08-18 09:29;2018-08-21 09:30:00.0;2018-08-24 11:45:00.0;
HKG592918;CX;3286/22;HKG;DFW;2018-08-17 16:00;2018-08-22 01:20:00.0;2018-08-21 09:20:00.0;2018-08-23 17:43
SZX133352;M3;8421/22;SZX;MAO;;2018-08-19 11:00:00.0;2018-08-22 21:45:00.0;2018-08-23 04:45
TAO840546;RU;756/20;TAO;BRU;;2018-08-17 20:00:00.0;2018-08-23 18:00:00.0;
TAO840550;LH;8397/20;TAO;STR;;2018-08-17 20:00:00.0;2018-08-22 00:00:00.0;
TAO840553;RU;8529/19;TAO;DUS;;2018-08-17 20:00:00.0;2018-08-23 08:00:00.0;
TAO840604;5Y;055/26;TAO;VCP;2018-08-17 10:00;2018-08-17 20:00:00.0;2018-08-26 18:00:00.0;
TAO840647;LH;8397/20;TAO;LUX;2018-08-17 00:00;2018-08-17 20:00:00.0;2018-08-23 02:00:00.0;
SZV013324;7L;231/22;PVG;BUD;;2018-08-22 03:30:00.0;2018-08-22 13:00:00.0;
PVG904849;7L;4371T/20;CGO;WRO;2018-08-16 18:00;2018-08-18 23:00:00.0;2018-08-25 12:00:00.0;2018-08-24 10:00
PVG906453;RU;298/19;PVG;FRA;2018-08-17 16:02;2018-08-19 02:00:00.0;2018-08-19 19:00:00.0;2018-08-22 10:49
HKG595845;KA;378/18;HKG;OKA;2018-08-17 16:48;2018-08-18 12:15:00.0;2018-08-18 23:59:00.0;2018-08-18 17:52
GDL210565;5Y;607/22;GDL;EZE;2018-08-17 17:00;2018-08-22 01:30:00.0;2018-08-24 15:00:00.0;
GDL210581;5Y;055/26;GDL;VCP;2018-08-17 17:00;2018-08-22 01:30:00.0;2018-08-24 15:00:00.0;
NGB282986;CV;699/20;NGB;EIN;2018-08-17 16:00;2018-08-20 23:00:00.0;2018-08-21 08:00:00.0;2018-08-23 11:00
PVG907285;LH;8401/18;PVG;FRA;2018-08-17 23:00;2018-08-18 05:00:00.0;2018-08-18 13:00:00.0;2018-08-19 09:00
PVG909555;BR;012/22;PVG;LAX;2018-08-16 13:39;2018-08-21 00:20:00.0;2018-08-23 14:00:00.0;
PVG909557;BR;6608A/25;PVG;ATL;2018-08-18 11:58;2018-08-24 00:20:00.0;2018-08-25 11:45:00.0;
PVG909578;CK;211/19;PVG;DUS;2018-08-18 18:00;2018-08-19 06:00:00.0;2018-08-21 00:00:00.0;
HAN110542;CI;5384/22;HAN;MAO;;2018-08-19 18:00:00.0;2018-08-24 23:00:00.0;
ICN733500;AA;280/17;ICN;GRU;2018-08-17 10:00;2018-08-17 17:25:00.0;2018-08-19 07:25:00.0;2018-08-19 10:05
HKG597979;CX;504/19;HKG;NRT;2018-08-18 11:17;2018-08-19 09:50:00.0;2018-08-19 14:05:00.0;2018-08-20 12:47
HKG598282;CX;098/20;HKG;JFK;2018-08-16 19:38;2018-08-20 06:55:00.0;2018-08-20 23:59:00.0;2018-08-22 10:04
HKG598362;RFS;1055/21;HKG;AMS;2018-08-18 10:04;2018-08-19 18:20:00.0;2018-08-21 08:00:00.0;2018-08-24 09:27
HKG598383;;;HKG;MDE;2018-08-23 12:30;2018-08-28 20:00:00.0;2018-09-01 20:00:00.0;
HKG598482;KE;053/19;HKG;HNL;2018-08-17 17:04;2018-08-18 18:00:00.0;2018-08-20 04:00:00.0;
HKG598527;KE;053/19;HKG;HNL;2018-08-17 16:46;2018-08-18 18:00:00.0;2018-08-20 04:00:00.0;
HKG598630;QR;433/18;HKG;WRO;2018-08-17 17:42;2018-08-18 06:00:00.0;2018-08-25 12:00:00.0;2018-08-22 10:00
HKG598725;QR;8426/23;HKG;LUG;2018-08-20 15:14;2018-08-22 13:05:00.0;2018-08-24 18:00:00.0;
HKG598751;RU;222/22;HKG;WRO;2018-08-20 11:50;2018-08-22 01:15:00.0;2018-08-25 22:00:00.0;
HKG598772;KE;925/19;HKG;AMS;2018-08-15 15:48;2018-08-19 00:15:00.0;2018-08-19 18:30:00.0;2018-08-22 20:03
HKG598775;SQ;528/20;HKG;MAA;2018-08-17 15:35;2018-08-19 18:50:00.0;2018-08-20 22:00:00.0;
