Pantainer HB/L;Received (Date);ETS;ETA;Released (Date);Shipping Line (text);Voyage Nbr;Vessel name;Place of Receipt (code);Port of Loading (code);Place of Delivery (code);Gross Weight (total);Pieces (total);Volume (total)
BRE060701;2019-01-15;2019-01-25;2019-03-04;;OCEAN NETWORK EXPRESS PTE LTD.;007E;MOL TRUST;DEMTH;DEHAM;CNTXG;5518.400;13;16.48
SZX984327;2019-01-24;2019-02-01;2019-02-25;;MSC - MEDITERRANEAN SHIPPING;FJ903W;MSC LONDON;CNHUI;CNYTN;;19940.500;172;65.00
STR146087;2019-01-14;2019-01-19;2019-02-25;;OCEAN NETWORK EXPRESS PTE LTD.;005E;MOL TRUTH;DETUT;DEHAM;CNTSN;15076.000;5;85.02
NGB000189;2019-01-15;2019-01-19;2019-02-19;;A.P. MOLLER-MAERSK A/S;903W;MSC JADE;CNNGB;CNNGB;DEHAM;3420.000;600;23.89
SGN546292;2019-01-23;2019-01-24;2019-02-18;;MSC - MEDITERRANEAN SHIPPING;HI903R;MSC ROSARIA;VNSGN;VNVUT;;7435.000;67;60.75
TAO706317;2019-01-21;2019-01-23;2019-02-24;;APL CO. PTE. LTD. AMERICAN PR;0ME2NW1PL;CMA CGM CASSIOPEIA;;CNTAO;MXMTY;136340.000;93;108.14
STR100979;2018-07-02;2018-07-05;2019-09-10;;A.P. MOLLER-MAERSK A/S;827E;MSC RIFAYA;DEREU;DEHAM;CNCQI;63890.000;13;256.55
SZX984814;2019-01-28;2019-02-11;2019-03-03;;MSC - MEDITERRANEAN SHIPPING;FS905W;MSC INGY;CNHUI;CNYTN;;16720.000;176;57.00
TYO864743;;2019-02-13;2019-02-27;;HAPAG-LLOYD AG;073E;NYK DELPHINUS;JPUKB;JPUKB;USLAX;2215.000;4;3.66
ZRH059489;;2018-07-03;2019-07-21;;;826S;POLAR COSTA RICA;CHUZW;BEANR;MXVER;1166.000;3;4.28
TYO863768;2018-12-20;2018-12-27;2019-02-28;;APL CO. PTE. LTD. AMERICAN PR;0IZ1JN1PL;NIKOS P;JPNGO;JPNGO;RUSPP;62136.000;199;708.99
JHB603914;2019-01-23;2019-01-24;2019-03-01;;HAPAG-LLOYD AG;0257S;PAC CEKAP;;MYPGU;CAMTR;7501.000;176;65.82
DRS010855;2018-12-17;2018-12-19;2019-02-18;;A.P. MOLLER-MAERSK A/S;1815;MAERSK SARAT;DEWAJ;DEHAM;NZPOE;98688.000;96;
TAO704791;2019-02-02;2019-02-05;2019-02-23;;A.P. MOLLER-MAERSK A/S;904S;CCNI ANGOL;;CNTAO;MXMTY;115517.000;86;96.50
;2019-01-24;2019-01-29;2019-03-02;;OCEAN NETWORK EXPRESS PTE LTD.;007W;MOL TRIBUTE;CNSHA;CNSHA;GBASL;1200.000;100;12.20
