Pantainer HB/L;Received (Date);ETS;ETA;Released (Date);Shipping Line (text);Voyage Nbr;Vessel name;Place of Receipt (code);Port of Loading (code);Port of Discharge (code);Place of Delivery (code);Gross Weight (total);Pieces (total);Volume (total);Customer Reference (FOS)
SHA270038;2018-07-05;2018-07-09;2018-07-29;;OCEAN NETWORK EXPRESS PTE LTD;035W;SAN FRANCISCO BRIDGE;CNSHA;CNSHA;INPAV;INGHR;2148.130;249;17.39;
NGB575862;;2018-07-14;2018-08-19;2018-08-20;OCEAN NETWORK EXPRESS PTE LTD;006W;MOL TRIUMPH;;CNNBG;DEHAM;;1840.000;460;17.47;
SHA116430;2018-07-09;2018-07-15;2018-08-03;;MSC - MEDITERRANEAN SHIPPING;ZF828A;MSC SUSANNA;CNSHA;CNSHA;MGTOA;;345.000;15;1.90;
SHA136319;2018-07-10;2018-07-13;2018-08-12;2018-08-14;HYUNDAI MERCHANT MARINE;FL828W;MSC GAIA;;CNSHA;BEANR;;13166.000;1764;60.58;
CAN673485;2018-07-06;2018-07-11;2018-08-13;2018-08-16;HYUNDAI MERCHANT MARINE;827W;ELLY MAERSK;;CNYTN;BEANR;;7795.880;412;54.10;
SHA136614;2018-07-13;2018-07-14;2018-08-09;2018-08-22;A.P. MOLLER-MAERSK A/S;FB827W;MSC ERICA;;CNSHA;IEBEF;;3318.000;16;6.00;
TPE043027;2018-07-07;2018-07-09;2018-08-14;2018-08-21;HYUNDAI MERCHANT MARINE;1828W;CUL SHANTOU;TWTYN;TWTXG;SEGOT;;18590.700;1820;130.00;9017
WUH509448;2018-07-08;2018-07-12;2018-07-13;;PANTAINER (H.K.) LIMITED;571E;HYUNDAI CONFIDENCE;CNSHA;CNSHA;KRPUS;KRPUS;1060.800;1;1.47;
NGB570746;2018-07-06;2018-07-13;2018-08-17;2018-08-20;CMA CGM S.A.;0FL15W1;CMACGMKERGUELEN;CNNBG;CNNBG;DEHAM;DEHAM;1809.060;2741;9.83;
SHA123359;2018-07-09;2018-07-12;2018-07-27;2018-08-05;OOCL, ORIENT OVERSEAS CONTAIN;125N;XIN LOS ANGELES;;CNSHA;CAVAN;CATOR;4727.900;85;70.75;PO074614
ZGN651961;2018-07-08;2018-07-09;2018-08-03;2018-08-08;A.P. MOLLER-MAERSK A/S;826W;MANCHESTER MAERSK;;CNYTN;NLRTM;;4967.740;3205;64.98;
SZX955361;2018-07-05;2018-07-11;2018-08-04;2018-08-08;APL CO. PTE. LTD, AMERICAN PR;0FM0XW1MA;APL VANDA;;CNYTN;FRLEH;;7910.000;742;56.93;
